№,Название,Ссылка
Основная литература:,,
1,"Кириллов А.А., Гвишиани А.Д. - Теоремы и задачи функционального анализа (Наука, 1988)",
2,"Хелемский А.Я. - Лекции по функциональному анализу (МЦНМО, 2004)",
