№,Название,Ссылка
Основная литература:,,
1,"Lawvere F.W., Schanuel S.H. - Conceptual Mathematics. A First Introduction to Categories (Cambridge, 1997)",
2,"Атья М., Макдональд И. - Введение в коммутативную алгебру (Мир, 1972)",
3,"Гельфанд С.И., Манин Ю.И. - Методы гомологической алгебры. Том 1 (Наука, 1988)",
4,"Голдблатт Р. - Топосы. Категорный анализ логики (Мир, 1983)",
5,"Маклейн С. - Категории для работающего математика (ФизМатЛит, 2004)",
6,"Фукс Д.Б. - Когомологии бесконечномерных алгебр Ли (Наука, 1984)",
