№,Название,Ссылка
Основная литература:,,
1,"Дынников И.А. - Классическая дифференциальная геометрия (МГУ, 2009)",
2,"Казарян М.Э. - Курс дифференциальной геометрии (МЦНМО, 2002)",
3,Милнор Д. - Теория Морса (1963),
