№,Название,Ссылка
Основная литература:,,
1,"Неструев Д. - Гладкие многообразия и наблюдаемые (МЦНМО, 2001-2003)",
2,"Спивак М. - Математический анализ на многообразиях (Мир, 1976)",
3,"Уорнер Ф. - Основы теории гладких многообразий и групп Ли (Мир, 1987)",
4,"Уэллс Р. - Дифференциальное исчисление на комплексных многообразиях (Мир, 1976)",
