№,Название,Ссылка
Основная литература:,,
1,Demailly J.-P. - Complex Analytic and Differential Geometry (2009),
2,"Вуазен К. - Теория Ходжа и комплексная алгебраическая геометрия. Том 1 (МЦНМО, 2010)",
