№,Название,Ссылка
Основная литература:,,
1,"Прасолов В.В. - Элементы теории гомологий (МЦНМО, 2006)",
2,"Прасолов В.В., Сосинский А.Б. - Узлы, зацепления, косы и трехмерные многообразия (МЦНМО, 1997)",
3,"Скопенков А. - Алгебраическая топология с геометрической точки зрения (МЦНМО, 2015)",
4,"Фоменко А.Т., Фукс Д.Б. - Курс гомотопической топологии (Наука, 1989)",
5,"Хатчер А. - Алгебраическая топология (МЦНМО, 2011)",
